title,rank,date,artist,url,region,chart,trend,streams
What’s Next,1,2021-03-05,Drake,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz,Global,top200,NEW_ENTRY,6856433.0
Oh My God,2,2021-11-19,Adele,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,Global,top200,NEW_ENTRY,6785654.0
My Universe,3,2021-09-24,"Coldplay, BTS",https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM,Global,top200,NEW_ENTRY,6768788.0
everything i wanted,1,2019-11-15,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,Global,top200,MOVE_UP,6706379.0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,2021-11-12,Taylor Swift,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,Global,top200,NEW_ENTRY,6673846.0
LA NOCHE DE ANOCHE,2,2020-11-27,"Bad Bunny, ROSALÍA",https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,Global,top200,NEW_ENTRY,6631602.0
a m a r i,1,2021-05-14,J. Cole,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX,Global,top200,NEW_ENTRY,6595971.0
MIA (feat. Drake),1,2018-10-12,Bad Bunny,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,Global,top200,MOVE_UP,6592787.0
Stuck with U (with Justin Bieber),1,2020-05-08,Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Global,top200,NEW_ENTRY,6583884.0
HUMBLE.,1,2017-04-14,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,Global,top200,MOVE_UP,6577558.0
Toosie Slide,1,2020-05-01,Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,Global,top200,MOVE_UP,6574812.0
SICKO MODE,3,2018-08-03,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,Global,top200,NEW_ENTRY,6546842.0
Psycho (feat. Ty Dolla $ign),2,2018-02-26,Post Malone,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF,Global,top200,SAME_POSITION,6546243.0
I'm Upset,8,2018-06-29,Drake,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1,Global,top200,MOVE_UP,6528547.0
Call Out My Name,1,2018-03-30,The Weeknd,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N,Global,top200,NEW_ENTRY,6473226.0
